,brand,model,price,mileage,year,location,body_type,fuel,power,transmission,color,engine_size
196,Mahindra,Kuv 100,41200.0,3800.0,2022.0,Sousse,4 X 4,Essence,5.0,Manuelle,Noir,
197,Mercedes Benz,Classe C,52000.0,245000.0,2008.0,Sousse,Berline,Diesel,10.0,Automatique,Gris,
198,Jeep,Renegade,68000.0,135000.0,2018.0,Tunis,4 X 4,Essence,8.0,Automatique,Noir,
199,Peugeot,Partner Origin Utilitaire,46000.0,148000.0,2020.0,Tunis,Utilitaire,Diesel,5.0,Manuelle,Blanc,
200,Toyota,Yaris,16500.0,,2003.0,Ben Arous,Compacte,Diesel,4.0,Manuelle,Blanc,
201,Hyundai Trucks,H350,115000.0,70000.0,2021.0,Tunis,Autres,Diesel,7.0,Manuelle,Noir,
202,Mercedes Benz,Classe E,,70000.0,2019.0,Tunis,Berline,Essence,11.0,Automatique,Gris,
203,Land Rover,Range Rover Sport,85000.0,160000.0,2009.0,Tunis,4 X 4,Essence,32.0,Automatique,Noir,
204,Volkswagen,Passat,34000.0,313130.0,2013.0,Tunis,Berline,Essence,7.0,Manuelle,Noir,
205,Porsche,Cayenne,250000.0,133000.0,2012.0,Ben Arous,Citadine,Essence,21.0,Automatique,Blanc,
206,Porsche,Panamera,260000.0,188000.0,2011.0,Ben Arous,Berline,Essence,30.0,Automatique,Blanc,
207,Suzuki,Celerio,,77000.0,2017.0,Ariana,Compacte,Essence,4.0,Manuelle,Gris,
208,Jeep,Grand Cherokee,195000.0,107000.0,2016.0,Ben Arous,Citadine,Essence,20.0,Automatique,Noir,
209,Mercedes Benz,Classe C,,22000.0,2019.0,Ariana,Berline,Essence,9.0,Automatique,Blanc,
210,Bmw,Serie 2 Coupe,190500.0,44000.0,2021.0,Ben Arous,Citadine,Essence,8.0,Automatique,Noir,
211,Land Rover,Range Rover Velar,250000.0,80000.0,2018.0,Ben Arous,Autres,Essence,16.0,Automatique,Beige,
212,Mercedes Benz,Glc Coupe,226000.0,106000.0,2018.0,Ariana,4 X 4,Diesel,9.0,Automatique,Noir,
213,Bmw,Serie 5,,30000.0,2019.0,Ben Arous,Berline,Essence,10.0,Automatique,Blanc,
214,Toyota,Land Cruiser 76,224900.0,10000.0,2021.0,Ben Arous,Citadine,Diesel,11.0,Manuelle,Beige,
215,Mercedes Benz,Classe C,149000.0,143000.0,2018.0,Ben Arous,Berline,Essence,9.0,Automatique,Noir,
216,Porsche,Cayenne,150000.0,213000.0,2010.0,Ben Arous,Citadine,Diesel,16.0,Automatique,Noir,
217,Mercedes Benz,Classe A,180000.0,14000.0,2021.0,Ben Arous,Citadine,Essence,8.0,Automatique,Gris,
218,Land Rover,Range Rover Sport,159000.0,118000.0,2013.0,Ben Arous,4 X 4,Essence,24.0,Automatique,Blanc,
219,Audi,Q5,190000.0,56000.0,2018.0,Ben Arous,Citadine,Essence,10.0,Automatique,Noir,
220,Porsche,Cayenne,180000.0,229000.0,2012.0,Ben Arous,Citadine,Essence,21.0,Automatique,Beige,
221,Porsche,Cayenne,178000.0,150000.0,2012.0,Ben Arous,Citadine,Diesel,15.0,Automatique,Noir,
222,Bmw,X4,149000.0,143000.0,2015.0,Ben Arous,Citadine,Diesel,11.0,Automatique,Noir,
223,Land Rover,Discovery Sport,155000.0,117000.0,2016.0,Ben Arous,4 X 4,Diesel,9.0,Automatique,Noir,
224,Ssangyong,Korando,145000.0,16000.0,2022.0,Ben Arous,Citadine,Diesel,8.0,Automatique,Gris,
225,Mercedes Benz,Classe C Coupe,139000.0,141000.0,2016.0,Ben Arous,Coupé,Essence,9.0,Automatique,Blanc,
226,Byd,Tang,145000.0,12000.0,2022.0,Ben Arous,Citadine,Essence,11.0,Automatique,Noir,
227,Bmw,X4,136500.0,103000.0,2015.0,Ariana,Citadine,Essence,11.0,Automatique,Blanc,
228,Kia,Sportage,137000.0,89000.0,2019.0,Ben Arous,Citadine,Diesel,7.0,Automatique,Gris,
229,Mercedes Benz,Classe C Coupe,145000.0,96000.0,2016.0,Ben Arous,Coupé,Essence,8.0,Automatique,Gris,
230,Hyundai,Tucson,139500.0,25000.0,2020.0,Ariana,4 X 4,Essence,10.0,Automatique,Bleu,
231,Audi,A4,,10000.0,2018.0,Ben Arous,Berline,Essence,8.0,Automatique,Bleu,
232,Mercedes Benz,Classe C,133000.0,129000.0,2017.0,Ben Arous,Berline,Essence,8.0,Automatique,Bleu,
233,Volkswagen,Golf 7,79000.0,180000.0,2019.0,Sousse,Compacte,Diesel,5.0,Manuelle,Gris,
234,Mercedes Benz,Classe A,125000.0,68000.0,2020.0,Ben Arous,Citadine,Essence,7.0,Automatique,Noir,
235,Kia,Sorento,125000.0,54000.0,2016.0,Ben Arous,Citadine,Diesel,12.0,Automatique,Blanc,
236,Volkswagen,Tiguan,120000.0,55000.0,2020.0,Ben Arous,Citadine,Essence,8.0,Automatique,Blanc,
237,Peugeot,3008,,65000.0,2020.0,Ben Arous,Citadine,Diesel,6.0,Automatique,Gris,
238,Bmw,Serie 4 Coupe,128000.0,59000.0,2015.0,Ben Arous,Citadine,Essence,10.0,Automatique,Noir,
239,Bmw,Serie 5,126500.0,94000.0,2016.0,Ariana,Berline,Essence,9.0,Automatique,Blanc,
240,Peugeot,207,,200000.0,2008.0,Gafsa,Compacte,Diesel,5.0,Manuelle,Beige,
241,Bmw,Serie 5,115000.0,194000.0,2014.0,Ben Arous,Berline,Essence,10.0,Automatique,Noir,
242,Mercedes Benz,Classe C,115000.0,226000.0,2014.0,Ben Arous,Berline,Essence,8.0,Automatique,Noir,
243,Volkswagen,Golf 8,120000.0,9000.0,2021.0,Ben Arous,Citadine,Essence,6.0,Manuelle,Blanc,
244,Volkswagen,Golf 8,116000.0,14000.0,2020.0,Ben Arous,Citadine,Essence,6.0,Manuelle,Gris,
245,Nissan,Qashqai,,25000.0,2021.0,Ben Arous,Citadine,Diesel,6.0,Automatique,Bleu,
246,Kia,Sportage,120000.0,122000.0,2016.0,Ben Arous,Citadine,Diesel,10.0,Automatique,Blanc,
247,Audi,Tt,,36000.0,2017.0,Ariana,Coupé,Essence,13.0,Automatique,Bleu,
248,Land Rover,Range Rover Sport,110000.0,182000.0,2008.0,Ben Arous,Citadine,Diesel,13.0,Automatique,Gris,
249,Peugeot,508,,105000.0,2019.0,Ariana,Berline,Essence,8.0,Automatique,Noir,
250,Audi,A3,113400.0,219000.0,2019.0,Ben Arous,Citadine,Diesel,6.0,Automatique,Gris,
251,Bmw,Serie 4 Coupe,109000.0,109000.0,2019.0,Ben Arous,Coupé,Essence,7.0,Automatique,Noir,
252,Honda,Hr V,105800.0,40000.0,2021.0,Ben Arous,Citadine,Essence,7.0,Automatique,Noir,
253,Skoda,Octavia,100000.0,66000.0,2020.0,Ben Arous,Berline,Diesel,7.0,Automatique,Noir,
